GPSub_ID,GPSub,(R)Esub,TDist_0,TDist_1,Tdist_2or3,Tdist_>3,PPB_Score,Verified
GPSub_6,CCN(CCN)*,*C(=O)NC(*)C(=O)NCC(=O)*,1086,207,163,909,-0.174 ,NO
GPSub_6,CCN(CCN)*,*C(=O)NC(C*)C(=O)NC*,3666,117,758,2302,-0.108 ,YES
GPSub_1,CCN(CC)CCO*,*C(NC)C(C)*,107,6,4,36,-0.120 ,YES
GPSub_2,CCN(C*)CCO*,*C(NC)C(C)*,127,18,4,36,-0.148 ,YES
GPSub_3,CCN(C*)CCN*,*C(=O)O,121,169,184,189,-0.168 ,YES
GPSub_3,CCN(C*)CCN*,*CC(=O)O,341,232,136,118,-0.209 ,YES
GPSub_3,CCN(C*)CCN*,C=CC(=O)*,79,4,13,64,-0.187 ,NO
GPSub_3,CCN(C*)CCN*,*CC(=O)N,2232,134,320,935,-0.142 ,NO
GPSub_3,CCN(C*)CCN*,*N1CCCC1,323,16,24,91,-0.085 ,NO
GPSub_3,CCN(C*)CCN*,CC(=O)*,1178,420,251,766,-0.133 ,NO
GPSub_3,CCN(C*)CCN*,*C(=O)NC,2188,166,219,750,-0.198 ,YES
GPSub_3,CCN(C*)CCN*,*NC(C)C,2213,167,195,638,-0.145 ,YES
GPSub_3,CCN(C*)CCN*,*C(=O)NC(C)C,1040,144,79,388,-0.169 ,YES
GPSub_3,CCN(C*)CCN*,*C(C)NC,3171,242,317,838,-0.134 ,YES
GPSub_3,CCN(C*)CCN*,*C(=O)C(C)NC,1430,133,118,465,-0.130 ,NO
GPSub_3,CCN(C*)CCN*,*NC(=O)C(C)NC,1729,37,141,454,-0.148 ,YES
GPSub_3,CCN(C*)CCN*,CN(C)CC(=O)*,786,12,41,85,-0.184 ,YES
GPSub_3,CCN(C*)CCN*,CNC(=O)C*,3488,113,308,1007,-0.175 ,YES
GPSub_3,CCN(C*)CCN*,CN(C)C(=O)C*,1284,14,45,207,-0.165 ,YES
GPSub_3,CCN(C*)CCN*,CN(C)C(=O)*,850,25,28,145,-0.142 ,YES
GPSub_3,CCN(C*)CCN*,*C(C)C(=O)N,976,64,132,414,-0.152 ,NO
GPSub_3,CCN(C*)CCN*,*C(=O)NC(C)C(=O)N,696,34,94,321,-0.141 ,NO
GPSub_3,CCN(C*)CCN*,*CNC(C)C,2808,175,152,538,-0.148 ,YES
GPSub_3,CCN(C*)CCN*,*CCNC(C)C,3180,162,229,659,-0.178 ,YES
GPSub_3,CCN(C*)CCN*,*CCCNC(C)C,1337,112,140,351,-0.094 ,NO
GPSub_3,CCN(C*)CCN*,*NCCO,1304,103,119,332,-0.169 ,NO
GPSub_3,CCN(C*)CCN*,*NCC(=O)N,1579,39,136,441,-0.155 ,YES
GPSub_3,CCN(C*)CCN*,*C(=O)NCC(=O)N,763,40,92,350,-0.129 ,YES
GPSub_3,CCN(C*)CCN*,CCNC(=O)*,2998,321,252,1060,-0.206 ,YES
GPSub_3,CCN(C*)CCN*,CC=C*,282,36,117,188,-0.162 ,NO
GPSub_3,CCN(C*)CCN*,*C(=O)NCCN,1522,40,98,387,-0.156 ,YES
GPSub_3,CCN(C*)CCN*,*CCC(=O)*,1195,368,252,703,-0.133 ,NO
GPSub_3,CCN(C*)CCN*,*C(C(=O)NC(C)C)*,958,72,44,268,-0.147 ,NO
GPSub_3,CCN(C*)CCN*,*C(=O)C(*)NC,1560,165,156,510,-0.126 ,NO
GPSub_3,CCN(C*)CCN*,*NC(=O)C(*)NC,1911,40,135,480,-0.144 ,YES
GPSub_3,CCN(C*)CCN*,*C(=O)C(NC(=O)C(C)NC)*,633,66,60,238,-0.148 ,NO
GPSub_3,CCN(C*)CCN*,CCN(C*)CCNC(=O)*,1257,16,43,182,-0.163 ,YES
GPSub_3,CCN(C*)CCN*,CCN(*)CCNC(=O)*,1667,20,67,224,-0.141 ,YES
GPSub_3,CCN(C*)CCN*,*C(=O)NC(C)C(=O)*,760,105,62,372,-0.178 ,YES
GPSub_3,CCN(C*)CCN*,CC(=O)NC(C*)C(=O)*,944,95,70,333,-0.232 ,YES
GPSub_3,CCN(C*)CCN*,CC(=O)NC(C*)*,2519,161,231,791,-0.209 ,YES
GPSub_3,CCN(C*)CCN*,*CSC*,476,40,25,58,-0.290 ,YES
GPSub_3,CCN(C*)CCN*,*C(=O)NCC(=O)*,876,128,61,417,-0.167 ,YES
GPSub_3,CCN(C*)CCN*,CC(C(=O)NCC*)*,2676,152,217,808,-0.197 ,YES
GPSub_3,CCN(C*)CCN*,CC(C(=O)NC*)*,2597,99,245,776,-0.164 ,YES
GPSub_3,CCN(C*)CCN*,CCN(C*)CC(=O)*,1102,16,35,85,-0.189 ,YES
GPSub_3,CCN(C*)CCN*,CCN(*)CC(=O)*,1526,40,63,153,-0.186 ,YES
GPSub_3,CCN(C*)CCN*,*C(=*)NCCN,1681,44,104,399,-0.149 ,YES
GPSub_3,CCN(C*)CCN*,*C(NCC(=O)O)*,236,4,3,10,-0.329 ,YES
GPSub_3,CCN(C*)CCN*,*C2CCN2*,141,0,2,13,-0.266 ,YES
GPSub_3,CCN(C*)CCN*,*C(*)C(=O)NCC(=O)N,688,22,87,216,-0.167 ,NO
GPSub_3,CCN(C*)CCN*,*CCN(CC(=O)O)C*,594,24,20,10,-0.280 ,YES
GPSub_3,CCN(C*)CCN*,*C(=O)C(NC(=O)C(C)*)*,662,73,43,264,-0.159 ,NO
GPSub_3,CCN(C*)CCN*,*C(=O)C(NC(=O)C(*)NC)*,712,69,53,253,-0.141 ,NO
GPSub_3,CCN(C*)CCN*,*CN(CC*)C(=O)*,2715,39,51,320,-0.145 ,YES
GPSub_3,CCN(C*)CCN*,*NC(*)C(=O)NCC(=O)*,812,71,61,269,-0.260 ,YES
GPSub_3,CCN(C*)CCN*,*NC(*)C(=O)NC*,2952,75,215,852,-0.165 ,YES
GPSub_3,CCN(C*)CCN*,*C(=O)NC(C*)C(=O)NCC(=O)*,660,64,63,260,-0.242 ,YES
